,CCS,molwt,ABCIndex_ABC,AcidicGroupCount_nAcid,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpMax_A,AdjacencyMatrix_SpAD_A,AdjacencyMatrix_VE1_A,AdjacencyMatrix_VE2_A,AdjacencyMatrix_VE3_A,AdjacencyMatrix_VR1_A,AdjacencyMatrix_VR2_A,AdjacencyMatrix_VR3_A,AtomCount_nAtom,AtomCount_nSpiro,AtomCount_nHetero,AtomCount_nH,AtomCount_nO,ATS_ATS2dv,ATS_ATS3dv,ATS_ATS6d,ATS_ATS7d,ATS_ATS8d,ATS_ATS0s,ATS_ATS3s,ATS_ATS4s,ATS_ATS0p,ATS_ATS1p,ATS_ATS8p,ATS_ATS0i,ATS_ATS2i,ATS_ATS3i,AATS_AATS0dv,AATS_AATS1dv,AATS_AATS2dv,AATS_AATS6dv,AATS_AATS8dv,AATS_AATS0d,AATS_AATS2d,AATS_AATS6d,AATS_AATS0s,AATS_AATS1s,AATS_AATS3s,AATS_AATS8s,AATS_AATS2Z,AATS_AATS6Z,AATS_AATS2m,AATS_AATS6m,AATS_AATS2v,AATS_AATS3v,AATS_AATS6v,AATS_AATS0se,AATS_AATS1se,AATS_AATS3se,AATS_AATS7se,AATS_AATS7pe,AATS_AATS7are,AATS_AATS3p,AATS_AATS1i,AATS_AATS3i,ATSC_ATSC4c,ATSC_ATSC8c,ATSC_ATSC2dv,ATSC_ATSC7dv,ATSC_ATSC8d,ATSC_ATSC6s,ATSC_ATSC8s,ATSC_ATSC1Z,ATSC_ATSC3Z,ATSC_ATSC4Z,ATSC_ATSC7Z,ATSC_ATSC3m,ATSC_ATSC7m,ATSC_ATSC4v,ATSC_ATSC7v,ATSC_ATSC6se,ATSC_ATSC8pe,ATSC_ATSC4p,ATSC_ATSC4i,ATSC_ATSC8i,AATSC_AATSC4c,AATSC_AATSC6c,AATSC_AATSC2dv,AATSC_AATSC6s,AATSC_AATSC3Z,AATSC_AATSC3m,AATSC_AATSC3v,AATSC_AATSC8pe,AATSC_AATSC1p,AATSC_AATSC1i,AATSC_AATSC8i,MATS_MATS6c,MATS_MATS8c,MATS_MATS3dv,MATS_MATS4dv,MATS_MATS3s,MATS_MATS4s,MATS_MATS6s,MATS_MATS7s,MATS_MATS3v,MATS_MATS6se,MATS_MATS7se,MATS_MATS8pe,MATS_MATS1p,MATS_MATS8i,GATS_GATS7c,GATS_GATS4dv,GATS_GATS4s,GATS_GATS7pe,GATS_GATS7are,BalabanJ_BalabanJ,CarbonTypes_C2SP2,CarbonTypes_C3SP2,CarbonTypes_C2SP3,CarbonTypes_C3SP3,AtomTypeEState_NssCH2,AtomTypeEState_NdsCH,AtomTypeEState_SdsCH,LogS_FilterItLogS,SMR_VSA_SMR_VSA6,EState_VSA_EState_VSA4,EState_VSA_EState_VSA5,EState_VSA_EState_VSA8,MolecularId_MID_N,TopologicalCharge_JGI8
LMST01010014_14-15,221.549,432.713,25.05632113,0,39.44794953,2.805064492,39.44794953,4.106802363,0.132477496,2.544046823,3443.114651,111.0682145,9.275533874,81,1,3,50,2,397,461,751,603,530,190.9652778,512.1666667,640.1875,102.8162532,145.9962708,261.9044923,13378.26721,26391.39872,42648.97602,2.888888889,3.141176471,2.294797688,0.660526316,0.663003663,2.913580247,3.601156069,1.976315789,2.357596022,2.052369281,1.869221411,1.594322344,15.15606936,7.194736842,53.94348779,22.47453541,193.7738325,167.1290003,105.3252778,7.209416247,7.462885976,7.292216745,7.124391007,5.517384354,5.444962585,1.317714334,145.4854323,155.6531972,-0.202462502,0.064723748,27.79286694,-9.226337449,-13.04526749,-2.30180655,5.948810522,32.76787075,-29.7712239,-235.2694711,-119.5244627,-159.0674223,-576.6133616,-2045.564213,-961.004444,-0.051105975,1.277991129,-8.964712126,-39.71561869,3.960315204,-0.00055017,0.0001684,0.16065241,-0.006057386,-0.108654102,-0.580538038,-2.651013577,0.004681286,0.02070046,0.067946269,0.014506649,0.016947424,0.023859588,-0.034788934,-0.112074339,0.101681885,-0.004019849,-0.009429915,-0.030389211,-0.052520478,-0.004079075,-0.028238032,0.074559132,0.092286672,0.011452662,0.871701055,1.15270599,0.879927026,0.890393219,0.859535505,1.370663581,0,0,13,7,10,0,0.0,-5.372393948,7.047671983,48.34907952,56.26648271,41.66635798,2.141685897,0.015973224
LMST01010103_7-8,243.091,604.761,34.38657538,0,51.33628213,2.748818674,51.33628213,5.189614513,0.12068871,3.105274442,707.4812133,16.45305147,8.020326098,93,0,10,50,9,802,1017,1037,876,799,490.9861111,866.0902778,1187.020833,121.2631812,166.7090382,368.4741935,15310.39799,28712.21034,43642.54803,6.086021505,5.536082474,4.265957447,1.968487395,1.918079096,3.311827957,4.079787234,2.178571429,5.27942055,2.831686712,3.028287685,2.711138575,19.25,11.00630252,71.58252193,37.18377653,214.4169713,200.6475029,124.4868054,7.689540946,7.726654804,7.74327979,7.672502602,6.064322622,6.022280206,1.443492732,146.0238067,152.5963218,0.070096777,0.52685288,47.82263846,-75.72262689,-13.70343392,31.7520089,28.11847468,11.96878252,-226.264308,-200.1030177,-233.3100937,-1073.333411,-1082.847418,-2303.626784,-293.6400546,1.881376213,3.386486889,-12.22070155,-64.28337099,-15.54529588,0.000170968,0.001180991,0.254375736,0.066705901,-0.791133944,-3.752914025,-4.169753431,0.009566347,0.018882281,0.062842023,-0.043913265,0.055236445,0.06960898,-0.130744445,-0.09576563,-0.036339605,-0.003803547,0.028531045,-0.00393683,-0.084838595,0.041781928,-0.054071743,0.070479918,0.085347811,-0.034288999,1.190336625,1.054531589,0.923295586,1.20811418,1.211420041,1.50108308,4,1,8,5,5,1,1.990590686,-4.088042961,13.65455395,10.47301426,13.8474744,0.0,2.079963005,0.015041161
LMST01010143_1-3,217.088,442.752,26.02140418,0,40.34722583,2.676787869,40.34722583,4.60650822,0.143953382,2.690620944,374.5712502,11.70535157,7.088932849,84,0,2,52,1,389,387,762,654,605,166.75,486.4652778,632.2986111,108.6400751,153.0405958,294.9616982,13816.23994,27183.63784,41826.84527,2.761904762,3.204545455,2.185393258,0.684491979,0.675767918,2.928571429,3.505617978,2.037433155,1.985119048,1.999921086,1.788475286,1.53668942,15.08988764,7.377005348,54.06103451,23.04355695,195.4790871,175.5128363,110.887437,7.132487619,7.400843,7.250916441,7.066210308,5.465958333,5.388166667,1.387124163,144.7805738,153.7751664,0.014620853,-0.029152191,16.90816327,11.16326531,-23.08390023,1.687909423,8.10840262,37.74036281,-153.4529478,-452.7427721,-14.78741497,-733.3667162,-78.41340735,-3670.077671,-462.047332,0.032047855,0.704814229,-15.41617298,-78.66527968,16.28885422,3.9e-05,-0.00019264,0.094989681,0.004513127,-0.564165249,-2.696201162,-3.329567909,0.002405509,0.016209177,0.044282839,0.055593359,-0.02809862,-0.014512523,-0.21503897,-0.143806625,0.014469568,-0.10109386,0.012111803,-0.025831873,-0.064802173,0.00415674,0.025246864,0.050087507,0.070898895,0.043281888,0.785028153,1.175523724,1.031058319,0.809396926,0.765167126,1.329706322,0,2,12,5,10,0,0.0,-7.236601067,7.047671983,24.29847454,57.78739461,55.51383238,2.052257892,0.016068037
LMST01010207_12-13,223.888,444.768,25.94149181,0,40.12067493,2.817103598,40.12067493,4.302353343,0.134448542,2.622312972,2046.617108,63.95678463,8.787094328,86,1,2,54,1,387,424,854,679,593,166.75,498.3055556,662.8611111,109.5293009,155.2676844,297.4113985,14186.07524,28102.37313,44563.70672,2.534883721,2.944444444,2.10326087,0.575688073,0.512658228,2.88372093,3.592391304,1.958715596,1.938953488,1.954320988,1.724240677,1.504702883,14.79347826,7.05733945,52.69297103,21.74360486,192.8461805,170.7093277,106.2087919,7.122859163,7.394549422,7.237773038,7.06111608,5.442393466,5.370565341,1.35549523,144.965951,154.1996772,-0.037142767,0.037472377,28.74364521,-6.612763656,-9.196863169,1.823684724,1.630513491,39.07869118,-105.4511898,-205.5542185,-114.3542455,-514.7406574,-554.9488707,-1597.363479,-1041.065326,0.391195239,0.654744889,-6.4142468,-43.03457796,35.34018802,-9.13e-05,9.19e-05,0.156215463,0.004182763,-0.36488301,-1.781109541,-3.952734469,0.002071977,0.016090567,0.043301582,0.111836038,0.013453422,0.017366874,-0.090336706,-0.122864518,0.03277002,-0.065083,0.011558272,-0.007556593,-0.077665147,0.044281098,-0.016302182,0.043695355,0.071092099,0.088060664,1.075605163,1.264807929,1.148313231,0.919684051,0.892981419,1.418696244,0,0,12,7,10,0,0.0,-6.929092688,7.047671983,42.05219268,57.78739461,55.51383238,2.157305349,0.015060469
LMST01030094_13-14,221.82,428.725,25.10871659,0,39.74867414,2.808009892,39.74867414,4.147682679,0.133796215,2.553951899,1848.374539,59.62498514,8.653464016,81,1,2,50,1,371,403,729,628,523,162.4652778,464.4166667,586.0347222,104.9619492,148.0246072,271.5230559,13319.61028,26184.91161,41612.12714,2.716049383,3.105882353,2.156976744,0.70523416,0.625454545,2.913580247,3.581395349,2.008264463,2.00574417,2.001960784,1.72645601,1.603434343,15.02906977,7.652892562,53.54189323,23.81134608,195.3417518,170.0971883,113.7640881,7.137673037,7.405863576,7.239289413,7.059137292,5.436158307,5.365658307,1.351304668,144.7958946,154.6919224,0.030525648,-0.038521301,12.00106691,5.56119494,-0.840877915,-4.243909719,-4.29799298,37.44185338,-117.3193111,-230.2900472,31.98780674,-563.3829815,152.45794,-2203.866144,213.4201728,0.384736611,-0.296737921,-10.10305866,-64.08681681,-3.704338443,8.43e-05,0.000288319,0.069773645,-0.011691211,-0.436131268,-2.094360526,-3.364309514,-0.001079047,0.016747572,0.045847114,-0.013470322,0.039412607,-0.019148297,-0.127480835,-0.104006305,-0.032498519,-0.045371292,-0.030276541,0.029646855,-0.065431318,0.050084788,0.008870589,-0.022132218,0.0732064,-0.010466855,0.915727726,1.1451657,0.721957123,0.86276729,0.844712951,1.37890927,2,0,10,8,8,2,5.112329249,-5.492841498,7.047671983,48.47301431,38.52492974,60.74213539,2.15810688,0.014589378
LMST01031101_14-15,228.785,456.691,26.58726462,0,41.55740536,2.810903242,41.55740536,4.198581704,0.127229749,2.628669247,3465.275342,105.0083437,9.344469841,79,1,4,46,3,495,598,747,593,531,249.5208333,536.1388889,747.4652778,104.4699056,145.6703336,264.3505446,12950.84224,24865.69566,39357.03417,3.898734177,4.012048193,3.018292683,1.058171745,0.811538462,3.088607595,3.829268293,2.069252078,3.158491561,2.328898929,2.094292535,1.82275641,16.62804878,8.548476454,60.24975936,27.60466693,205.6996855,182.1336047,114.0112338,7.316216354,7.511435904,7.377734562,7.290104301,5.693700717,5.624921147,1.391495605,144.9868583,153.7384147,-0.182252314,0.024411014,36.14981573,-83.45761897,-14.41259414,5.584173432,-5.084447159,26.63195001,-32.01089569,-205.2360199,-182.7062971,-163.8600671,-858.9352944,-2421.18548,-763.1479892,0.094969045,-0.521117689,-12.68123001,-60.99163509,15.21603115,-0.000520721,-0.000405552,0.220425706,0.015468624,-0.125042561,-0.640078387,-2.622495339,-0.002004299,0.020736087,0.071014707,0.058523197,-0.034098084,0.007893983,-0.040029954,-0.046816594,-0.023133572,-0.013555874,0.014095843,-0.104996823,-0.051118738,0.005819343,-0.113294337,-0.02582244,0.090564988,0.044924544,1.160535607,1.066239692,1.014263503,1.215659684,1.228398244,1.418586948,3,1,9,7,6,2,3.774552426,-4.810889507,7.047671983,32.10410811,16.89383588,48.24529366,2.132885978,0.014369399
LMST01031264_0-1,233.96,442.708,25.93427707,0,40.79502192,2.668360312,40.79502192,4.567624084,0.142738253,2.682143985,446.1231994,13.94134998,7.263745956,80,0,3,48,2,424,446,706,594,555,208.9722222,521.1875,667.8402778,104.7159274,147.1368585,273.0274826,13135.22626,25696.33228,40713.72507,3.35,3.583333333,2.50887574,0.886627907,0.783269962,3.0,3.597633136,2.052325581,2.612152778,2.120453042,1.974195076,1.71010245,15.74556213,7.720930233,56.60359274,24.50187518,199.4135016,174.1275716,110.8050954,7.2258288,7.44401219,7.314738,7.139796915,5.554075646,5.475269373,1.358836809,144.6993961,154.2186556,-0.111233293,-0.155302629,21.2725,-12.0225,-14.25,21.37333333,-5.125555556,34.203125,-111.78125,-428.96875,12.37109375,-541.8837449,54.04731445,-3191.97184,-187.4452187,0.77116484,-1.116091766,-12.97296785,-56.95284228,6.865687705,-0.000308981,0.000217071,0.125872781,0.062131783,-0.423413826,-2.052589943,-4.003676863,-0.004243695,0.016760934,0.046406922,0.026105276,0.025073576,-0.068208199,-0.150487073,-0.109751576,0.008406553,-0.055658156,0.078682409,-0.010915318,-0.077899711,0.06743917,0.011139884,-0.067023937,0.073221629,0.020161152,0.821660354,1.053284514,0.983010662,0.810693503,0.781353231,1.315827794,3,0,9,8,10,2,3.901621468,-6.191742652,13.59242839,43.43700463,32.2280429,47.74237809,2.048367208,0.013774067
LMST01040122_13-14,232.288,444.768,25.71564766,0,40.86197576,2.78568625,40.86197576,4.083743751,0.127616992,2.570164964,3591.595672,112.2373648,9.34950267,86,1,2,54,1,362,383,794,655,593,165.2152778,476.75,612.8541667,109.5293009,155.2676844,302.2741458,14186.07524,28091.4393,44939.87275,2.488372093,2.866666667,1.967391304,0.605459057,0.5625,2.837209302,3.47826087,1.970223325,1.921107881,1.937885802,1.649653979,1.495339912,14.52173913,7.027295285,51.37703615,21.8857736,190.3991434,165.5083316,105.3317912,7.122859163,7.394549422,7.219984706,7.07978019,5.480246835,5.402781646,1.323298405,144.965951,155.5012898,0.083685844,0.030651808,14.34829638,-23.42509465,-15.90914008,-1.134150029,1.892565801,39.07869118,-86.7302596,-311.7513521,-105.1206057,-415.9375556,-506.0742751,-2753.520554,-787.984235,-0.044094248,0.468167117,-11.97274213,-56.59182963,-2.878299481,0.000215131,2.4e-05,0.077979872,-0.002814268,-0.300104704,-1.439230296,-2.280588039,0.001540023,0.016090567,0.043301582,-0.00946809,0.003489668,0.014683736,-0.132905073,-0.098419231,-0.032796861,-0.024553356,-0.007901153,-0.029548134,-0.044810044,-0.005399931,-0.034673209,0.032477124,0.071092099,-0.007455256,0.925804739,1.110869427,0.682353235,0.941773457,0.912476583,1.330615943,0,0,13,8,11,0,0.0,-6.601662688,7.047671983,60.3088264,57.78739461,48.59009518,2.143463325,0.015670929
LMST01060005_11-12,219.483,428.725,25.1583708,0,39.06219552,2.785708665,39.06219552,4.087369952,0.131850644,2.539303831,2570.754838,82.92757542,8.983356958,81,1,2,50,1,368,394,758,604,543,161.7152778,457.9861111,579.1180556,104.9619492,148.0246072,273.0734943,13319.61028,26216.70671,41051.90727,2.740740741,3.105882353,2.139534884,0.637795276,0.614583333,2.913580247,3.581395349,1.989501312,1.996484911,1.998611111,1.721752297,1.48591821,15.0,7.217847769,53.47741053,22.7415251,194.8553979,170.8186654,106.9843439,7.137673037,7.405863576,7.245074226,7.100950452,5.515369863,5.434243151,1.357746965,144.7958946,154.3304785,0.110196358,0.035221812,7.124523701,-29.77625362,-4.160493827,-0.292396992,3.266137022,37.44185338,-153.7340344,-184.5246152,-236.0780369,-739.5301262,-1139.363192,-1617.737411,-1928.667731,-0.007723164,1.098390809,-6.926774833,-29.26835829,17.1946179,0.00030441,4.83e-05,0.041421649,-0.000767446,-0.577947498,-2.780188444,-4.603344053,0.003813857,0.016747572,0.045847114,0.059703534,0.00662315,0.016764667,-0.141251252,-0.102809233,-0.067558939,0.003737724,-0.002008384,-0.059971803,-0.089528881,-0.000957898,-0.060753207,0.078225614,0.0732064,0.046391488,0.955910196,1.143165711,0.647950596,0.999032793,0.961534445,1.355643957,1,1,11,7,9,1,2.6517195,-5.849181498,7.047671983,54.39092035,44.94575136,54.66611529,2.143449772,0.01613358
LMST01070025_12-13,216.36,432.669,25.70371712,0,40.20035113,2.790329485,40.20035113,4.339307769,0.13997767,2.599116947,598.3770889,19.30248674,7.52562325,77,1,4,46,3,468,513,746,610,489,196.0208333,520.75,646.7847222,98.89210562,141.4318736,233.3559709,12697.25353,25595.40725,41299.27975,3.584415584,3.756097561,2.785714286,0.840336134,0.858921162,3.142857143,3.863095238,2.089635854,2.545725108,2.124915312,1.957706767,1.73812817,16.54166667,7.81512605,59.7215978,24.52204586,201.7063936,173.5941866,110.3669339,7.31039039,7.541488195,7.407010947,7.188615566,5.566131469,5.503146853,1.339122704,145.532486,155.2604502,0.04461148,-0.115876209,22.11570248,9.909090909,0.640411537,-6.008969566,-7.03761291,43.00202395,-116.7780401,-295.9927475,46.50278293,-563.4956738,217.8009605,-2275.19516,167.822982,-0.349046309,-0.370513999,-9.356938631,-42.19651388,-22.64888401,0.000124613,-0.000184169,0.131641086,-0.016831848,-0.439015189,-2.118404789,-3.545867448,-0.001537402,0.01953124,0.055291718,-0.093978772,-0.015366135,-0.040116723,-0.117447836,-0.135695239,0.029319936,-0.029755601,-0.02305002,-0.014344899,-0.070263663,-0.021110079,0.025243121,-0.019480621,0.08698969,-0.073582987,0.832080749,1.147446916,0.871573506,0.851327658,0.838758982,1.299326756,0,0,12,7,7,0,0.0,-3.988624283,7.047671983,36.63720221,32.10410811,41.66635798,2.144064452,0.016402985
LMST01080011_8-9,220.71,460.679,27.73491834,0,43.34769418,2.796776253,43.34769418,4.509848325,0.13666207,2.700185991,591.6558986,17.92896662,7.576847682,79,2,5,46,4,570,601,807,657,566,208.5555556,573.5902778,676.6041667,102.3242096,146.8994536,249.2415135,13009.49917,26647.86641,43213.71138,4.126582278,4.247058824,3.257142857,0.994550409,1.083018868,3.291139241,3.988571429,2.198910082,2.639943741,2.159558824,2.06327438,1.7096174,17.55428571,8.504087193,63.89391233,27.23294524,205.8511641,176.3685467,114.2425479,7.389775848,7.600121365,7.493778317,7.273486082,5.672740068,5.606267123,1.337496082,145.495822,155.445005,-0.150187535,-0.173729579,37.20781926,-6.257651017,3.996474924,-12.57961687,1.104845422,52.72712706,-134.1156866,-410.5571223,-140.9338247,-642.9975705,-681.1320203,-2567.878924,-1207.912193,-1.351437486,1.061021231,-8.991493299,-37.63570404,6.201408802,-0.000405912,-0.000805557,0.21261611,-0.034276885,-0.482430527,-2.312940901,-3.568578457,0.004003854,0.016975679,0.038548353,0.023401543,-0.06040975,-0.04916306,-0.140712799,-0.146501248,0.055101602,-0.055139896,-0.04479235,-0.062570513,-0.070816494,-0.06500368,-0.018307906,0.043897678,0.07556144,0.018238379,0.904814556,1.154207257,0.822188034,0.929927585,0.911944755,1.198301551,0,0,13,7,9,0,0.0,-4.084083474,13.65455395,37.70515893,32.10410811,34.74262078,2.144185653,0.016938641
LMST01100001_0-1,238.848,470.806,28.0370027,0,43.34612102,2.829930733,43.34612102,4.291477513,0.126219927,2.680406514,1586.056622,46.64872418,8.592781534,90,2,2,56,1,419,430,856,737,688,172.8194444,523.8680556,712.8125,115.9963267,165.861473,339.8731926,14809.49926,29420.07992,45939.65791,2.666666667,3.157894737,2.170984456,0.656398104,0.669811321,3.022222222,3.694300518,2.028436019,1.920216049,1.941959064,1.740425434,1.572785639,15.08290155,7.002369668,53.99539684,21.62794779,196.7236192,177.821744,106.919328,7.123153867,7.393329053,7.237416571,7.061653537,5.455211144,5.379143695,1.403510539,144.563829,152.6234482,-0.097715033,-0.055188346,17.96938272,12.42765432,-31.92740741,1.446529492,4.633374486,47.75246914,-133.3124691,-519.7079012,143.3295062,-646.9875981,688.6377136,-3808.383236,1010.745663,0.16492606,-0.373122074,-15.03408093,-66.53868728,-22.19845707,-0.00022515,-0.0001741,0.09310561,0.003427795,-0.442898569,-2.149460459,-4.159491192,-0.00117334,0.019383568,0.065255712,-0.069806469,-0.026473181,-0.026389271,-0.1892178,-0.158602047,0.051454014,-0.091834221,0.009837461,0.003830534,-0.08106326,0.019913466,0.03949151,-0.025121092,0.084885082,-0.054539199,0.778333329,1.196006805,1.177536375,0.802211377,0.777737927,1.227455024,0,0,12,6,12,0,0.0,-7.765802301,13.59242839,36.01035185,70.75297264,55.51383238,2.048320664,0.015232935
LMST01120001_17-18,201.635,404.571,24.19923424,0,38.06371093,2.779404472,38.06371093,4.338063803,0.149588407,2.532138857,390.9570309,13.48127693,7.033308395,67,0,5,38,4,501,501,639,484,380,227.2222222,487.1527778,625.0347222,87.61170638,125.4961591,164.999765,11022.98053,22294.6429,36194.1089,4.597014925,4.527777778,3.408163265,1.158415842,1.331428571,3.343283582,4.020408163,2.108910891,3.391376451,2.288290895,2.081849478,1.99452381,17.81632653,8.732673267,65.01182724,27.87003213,210.056996,177.8118497,112.6072984,7.460933075,7.623240444,7.442123744,7.352148346,5.710048052,5.66165368,1.356300833,145.5783852,154.6756791,-0.259373902,0.125772014,28.23947427,6.382713299,1.668077523,-6.526947043,15.06416611,35.80374248,-124.5072399,-364.7522834,-30.74470929,-603.680462,-139.6647249,-2724.551957,51.32475827,-0.402436386,1.683303609,-11.08927824,-63.97474724,5.374989117,-0.000823409,-0.000798822,0.192105267,-0.021541079,-0.532082222,-2.579831034,-4.647315733,0.009618878,0.021926531,0.063327455,0.030714224,-0.043315264,0.038970597,-0.145675175,-0.112964082,-0.026689081,-0.063509819,-0.016912209,-0.008782147,-0.092421903,-0.020443275,-0.026206429,0.094963497,0.097622754,0.023716973,0.961463327,0.982878722,0.883224902,1.07285877,1.077217763,1.330822573,0,0,11,6,10,0,0.0,-3.882855515,13.65455395,51.36657298,11.32073135,20.89514638,2.12376939,0.01739481
